Economy,Year,freight,passenger,freight_activity,passenger_activity
03_CDA,2059,0.0,0.0,1631.505169285,1241.316133632
03_CDA,2060,0.0,0.0,1644.216971121,1255.489119413
03_CDA,2061,0.0,0.0,1657.118280141,1269.911211611
03_CDA,2062,0.0,0.0,1670.21205789,1284.583864805
03_CDA,2063,0.0,0.0,1683.468645432,1299.504779397
03_CDA,2064,0.0,0.0,1696.847205191,1314.669217853
03_CDA,2065,0.0,0.0,1710.328127623,1330.073683694
03_CDA,2066,0.0,0.0,1723.885011767,1345.719902987
03_CDA,2067,0.0,0.0,1737.508534521,1361.60989801
03_CDA,2068,0.0,0.0,1751.167527966,1377.740943922
03_CDA,2069,0.0,0.0,1764.841489203,1394.1092632070001
03_CDA,2070,0.0,0.0,1778.487362155,1410.712886216
04_CHL,2017,146.5157552615787,234.18309493184856,47.186817634,125.54734757199999
04_CHL,2018,154.53550761839696,241.8549040861632,49.09500270299999,132.734319511
04_CHL,2019,152.2234723589672,244.6459647555135,48.104815729,134.148816251
04_CHL,2020,127.10768641492115,167.3730020220161,39.931224343,87.106755277
04_CHL,2021,140.12890034064932,215.16048190510648,43.836767935,119.247728775
04_CHL,2022,146.5144048826805,233.43420954605034,46.589607713999996,130.774571618407
04_CHL,2023,146.9997155199446,234.11166463026163,48.21259294814,137.878013298527
04_CHL,2024,147.5969337098106,233.60973716965694,49.7900516754,143.7391737332
04_CHL,2025,148.23470749638514,232.9020479713666,51.316033643000004,149.116894293
04_CHL,2026,148.84160253478757,231.71283489308573,52.786578562,153.97180448199998
04_CHL,2027,149.34810169447934,230.469137274798,54.200241025,158.843200441
04_CHL,2028,149.71310432021454,229.0993939769405,55.557689335999996,163.70477341699998
04_CHL,2029,149.94655163962858,227.67309336869198,56.861624067,168.524176147
04_CHL,2030,150.0987779209235,226.3312486982682,58.116243208,173.273529106
04_CHL,2031,150.3298075281097,225.45445146289902,59.326113503,177.944943159
04_CHL,2032,150.65183136339576,224.84077087433548,60.49565026,182.532555229
04_CHL,2033,151.07039096093052,224.54905147178238,61.628914625,187.098142479
04_CHL,2034,151.57961318457902,224.6260103991727,62.729630378,191.723409503
04_CHL,2035,152.17131097681093,225.08986194841742,63.80124408,196.469422647
04_CHL,2036,152.82957845426066,225.8785208119256,64.84663100099999,201.361348116
04_CHL,2037,153.47629588257354,226.64301834509268,65.867333538,206.396710842
04_CHL,2038,154.10281684794637,227.35509301000218,66.86561153299999,211.568981486
04_CHL,2039,154.70084056764787,227.97467000419422,67.843225324,216.85695773
04_CHL,2040,155.25977415575025,228.4625836696774,68.801553036,222.241550649
04_CHL,2041,155.76801949693905,228.88163143169862,69.741377477,227.721599705
04_CHL,2042,156.21214266935715,229.241536901769,70.662783764,233.344805573
04_CHL,2043,156.5771069028977,229.50679484016527,71.56535228599999,239.110703234
04_CHL,2044,156.84681503520912,229.64168398658023,72.44852469,245.019216713
04_CHL,2045,157.00436530332055,229.61101717654734,73.31184176100001,251.071579408
04_CHL,2046,157.03105060210325,229.38031872138387,74.154573299,257.270619834
04_CHL,2047,156.90599025065194,228.88001050559018,74.975662094,263.574913561
04_CHL,2048,156.60585556610633,228.07260296675435,75.77376163,269.980902665
04_CHL,2049,156.10498787355243,226.9195060286397,76.547492717,276.482559861
04_CHL,2050,155.3752969250773,225.383357375628,77.29566401,283.07373891099996
04_CHL,2051,145.4951645595028,210.88082684419354,78.01985985900001,289.883161909
04_CHL,2052,151.08638076206202,212.13194927618287,81.75505881000001,298.006427484
04_CHL,2053,151.4478368580796,212.36501639767425,82.467942373,299.288879952
04_CHL,2054,151.8240502213519,212.60133386132821,83.214320579,300.60619986300003
04_CHL,2055,152.19221811908645,212.84070657535986,83.949058097,301.958695178
04_CHL,2056,152.55809551698866,213.08293448811824,84.683464458,303.346676531
04_CHL,2057,152.92173625712684,213.3278397322996,85.417573448,304.77045686
04_CHL,2058,153.28319243175494,213.57526288077997,86.151417947,306.230350973
04_CHL,2059,153.642514663581,213.82506309419702,86.88502908500001,307.726675332
04_CHL,2060,153.99975188007764,214.0771186206497,87.618435534,309.259747856
04_CHL,2061,154.3549515686058,214.3313255777668,88.35166328700001,310.829887633
04_CHL,2062,154.70815980504807,214.58759728774913,89.08473549499999,312.437414925
04_CHL,2063,155.05942128102313,214.8458631313004,89.817672499,314.08265109
04_CHL,2064,155.40877921040638,215.1060667102978,90.55049197599999,315.76591856
04_CHL,2065,155.75627585756388,215.36816448984982,91.283209187,317.487540975
04_CHL,2066,156.10195182104744,215.63212397344745,92.015837115,319.247843239
04_CHL,2067,156.44584686577232,215.89792193299894,92.748386881,321.04715162599996
04_CHL,2068,156.78799940238545,216.1655423092462,93.480867832,322.885794072
04_CHL,2069,157.12844687326637,216.43497504259577,94.213287869,324.76410011499996
04_CHL,2070,157.46722555053307,216.7062140149982,94.945653662,326.68240129
05_PRC,2017,6084.5629141469135,6828.512122883355,12566.517763,8419.831175
05_PRC,2018,6125.125929752548,7706.487259633555,12751.595527000001,9261.312061999999
05_PRC,2019,6598.658911114248,8195.692833688734,13519.496622999999,9518.958763999999
05_PRC,2020,6761.859823131015,7542.340529208635,13579.315822,8469.458568
05_PRC,2021,7115.857904212903,8370.756648965484,14617.406403,9729.96209
05_PRC,2022,7536.95450917657,8724.53679041711,15521.937174,10506.395308000001
05_PRC,2023,7980.231400416306,8867.334436295627,16527.913551999998,10868.250535000001
05_PRC,2024,8449.679048721693,8998.388570463756,17583.59193,11229.196622
05_PRC,2025,8886.928857319559,9117.074544688805,18585.674022,11588.145594
05_PRC,2026,9175.304099858993,9053.592289565573,19208.179829,11719.56661
