Economy,Year,Residential,GDP per capita
05_PRC,2046,16912.3121844451,33805.53435212099
05_PRC,2047,16899.796816704285,34420.582726978675
05_PRC,2048,16879.734815988646,35048.458458227404
05_PRC,2049,16863.255247758407,35692.373932239
05_PRC,2050,16846.120614181043,36354.99939220611
05_PRC,2051,16846.70326485497,
05_PRC,2052,16851.93392505207,
05_PRC,2053,16856.95400852713,
05_PRC,2054,16861.799038356556,
05_PRC,2055,16871.103239259875,
05_PRC,2056,16875.635091497265,
05_PRC,2057,16880.07786784557,
05_PRC,2058,16888.900369188592,
05_PRC,2059,16897.595131629518,
05_PRC,2060,16906.19518009135,
05_PRC,2061,16914.723901471403,
05_PRC,2062,16923.201478770265,
05_PRC,2063,16931.65196205541,
05_PRC,2064,16940.09827603883,
05_PRC,2065,16952.627963241208,
05_PRC,2066,16961.07094828843,
05_PRC,2067,16973.525867109725,
05_PRC,2068,16985.93276559545,
05_PRC,2069,16998.296835671506,
05_PRC,2070,17010.62365010473,
06_HKC,2017,57.35182484474388,60627.26926690158
06_HKC,2018,58.371248014136235,61893.45977368902
06_HKC,2019,58.78164562006541,60620.91069693816
06_HKC,2020,58.493788082699496,57242.83567920757
06_HKC,2021,59.004977597694136,59035.80889309091
06_HKC,2022,59.478361642799314,60080.17862019335
06_HKC,2023,59.90011781033888,61129.56346303014
06_HKC,2024,60.30655273136363,62160.31111674717
06_HKC,2025,60.76663024862277,63298.46439533077
06_HKC,2026,61.19989372943353,64253.328995664044
06_HKC,2027,61.66330456836974,65318.95538384058
06_HKC,2028,62.115610516174335,66378.83130421996
06_HKC,2029,62.52467937119692,67469.16801846038
06_HKC,2030,62.88536980053037,68754.10433377053
06_HKC,2031,63.142040261119625,69971.06069798392
06_HKC,2032,63.35088337061651,71388.91461736332
06_HKC,2033,63.50577370869692,72859.85007823195
06_HKC,2034,63.62629307957808,74363.89456123204
06_HKC,2035,63.7447735786525,76020.89094866675
06_HKC,2036,63.824698384452205,77556.82164695687
06_HKC,2037,63.903154088038576,79247.31920727158
06_HKC,2038,63.979990634382595,80958.61145505396
