GDP_category,economy,year,unit,scenario,activity,energy,intensity
Aluminium,02_BD,2043,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2044,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2044,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2045,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2045,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2046,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2046,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2047,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2047,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2048,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2048,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2049,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2049,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2050,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2050,thousand tonnes,Reference,0.0,0.0,
Aluminium,03_CDA,2017,thousand tonnes,Carbon Neutral,3210.0,254.57334984,0.07930633951401869
Aluminium,03_CDA,2017,thousand tonnes,Reference,3210.0,254.57334984,0.07930633951401869
Aluminium,03_CDA,2018,thousand tonnes,Carbon Neutral,2920.0,257.23427058,0.08809392828082191
Aluminium,03_CDA,2018,thousand tonnes,Reference,2920.0,257.23427058,0.08809392828082191
Aluminium,03_CDA,2019,thousand tonnes,Carbon Neutral,2900.0,255.47239201438356,0.08809392828082192
Aluminium,03_CDA,2019,thousand tonnes,Reference,2900.0,255.47239201438356,0.08809392828082192
Aluminium,03_CDA,2020,thousand tonnes,Carbon Neutral,2935.139000712544,258.56792462301377,0.08809392828082177
Aluminium,03_CDA,2020,thousand tonnes,Reference,2935.139000712544,258.56792462301377,0.08809392828082177
Aluminium,03_CDA,2021,thousand tonnes,Carbon Neutral,2969.2792716259573,261.57547520034757,0.0880939282808217
Aluminium,03_CDA,2021,thousand tonnes,Reference,2969.2792716259573,261.57547520034757,0.0880939282808217
Aluminium,03_CDA,2022,thousand tonnes,Carbon Neutral,3004.0341515524365,261.99068181250067,0.08721295051759252
Aluminium,03_CDA,2022,thousand tonnes,Reference,3004.0341515524365,263.3139730548555,0.08765345524410204
